City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Santona,ES,43.4439,-3.4576,22.17,90,100,3.85,overcast clouds
1,Hithadhoo,MV,-0.6,73.0833,27.8,71,76,1.18,broken clouds
2,Chernyshevskiy,RU,63.0128,112.4714,8.94,84,100,2.62,overcast clouds
3,Tadine,NC,-21.55,167.8833,23.47,67,100,8.18,overcast clouds
4,Praxedis Guerrero,MX,31.3667,-106.0167,31.72,26,44,1.13,scattered clouds
5,Georgetown,MY,5.4112,100.3354,29.96,85,20,2.24,few clouds
6,Lebu,CL,-37.6167,-73.65,9.26,85,100,2.28,overcast clouds
7,Thompson,CA,55.7435,-97.8558,17.0,45,0,2.14,clear sky
8,New Norfolk,AU,-42.7826,147.0587,12.18,87,100,0.89,overcast clouds
9,Avarua,CK,-21.2078,-159.775,24.03,88,100,2.06,overcast clouds
10,Cockburn Town,TC,21.4612,-71.1419,27.66,79,16,5.95,few clouds
11,Jamestown,US,42.097,-79.2353,18.8,63,0,2.06,clear sky
12,Keroka,KE,-0.7758,34.9453,12.38,87,100,0.89,overcast clouds
13,Barrow,US,71.2906,-156.7887,2.01,87,100,2.57,mist
14,Luderitz,NA,-26.6481,15.1594,11.41,68,21,2.9,few clouds
15,Esperance,AU,-33.8667,121.9,12.91,62,79,7.92,broken clouds
16,Rikitea,PF,-23.1203,-134.9692,23.08,80,83,9.1,broken clouds
17,Busselton,AU,-33.65,115.3333,14.25,63,23,2.29,few clouds
18,Acajutla,SV,13.5928,-89.8275,26.74,82,81,2.11,broken clouds
19,Broken Hill,AU,-31.95,141.4333,13.95,50,23,7.24,few clouds
20,Saskylakh,RU,71.9167,114.0833,11.56,49,68,2.7,broken clouds
21,Hualmay,PE,-11.0964,-77.6139,16.51,83,38,4.04,scattered clouds
22,Beian,NO,63.6559,9.5683,13.34,94,75,2.06,broken clouds
23,Mar Del Plata,AR,-38.0023,-57.5575,13.94,70,3,10.28,light rain
24,Punta Arenas,CL,-53.15,-70.9167,2.84,86,100,2.21,overcast clouds
25,Bethel,US,41.3712,-73.414,20.27,75,6,1.11,clear sky
26,Bathsheba,BB,13.2167,-59.5167,27.21,82,99,3.69,overcast clouds
27,Erzin,TR,36.9559,36.2,24.28,87,69,1.26,broken clouds
28,Guerrero Negro,MX,27.9769,-114.0611,23.93,75,1,7.11,clear sky
29,Ushuaia,AR,-54.8,-68.3,2.81,81,75,7.72,broken clouds
30,Juneau,US,58.3019,-134.4197,16.79,100,92,2.25,overcast clouds
