City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Klaksvik,62.2266,-6.589,11.51,93,75,7.09,FO,2022-08-09 01:59:21
1,Pithiviers,48.1667,2.25,19.9,57,0,5.22,FR,2022-08-09 01:59:22
2,Mataura,-46.1927,168.8643,7.24,57,5,3.45,NZ,2022-08-09 01:59:22
3,Chardara,41.2547,67.9692,24.69,45,1,2.26,KZ,2022-08-09 01:59:23
4,Great Falls,47.5002,-111.3008,33.66,10,0,0.89,US,2022-08-09 01:58:03
5,Cidreira,-30.1811,-50.2056,15.33,85,100,5.49,BR,2022-08-09 01:59:24
6,Busselton,-33.65,115.3333,10.34,74,100,7.27,AU,2022-08-09 01:59:24
7,Jamestown,42.097,-79.2353,23.8,73,100,5.14,US,2022-08-09 01:58:01
8,Skelleftea,64.7507,20.9528,8.2,100,100,1.54,SE,2022-08-09 01:55:16
9,Rocha,-34.4833,-54.3333,6.81,87,97,1.01,UY,2022-08-09 01:59:25
10,Codrington,-38.2667,141.9667,13.46,54,5,3.31,AU,2022-08-09 01:59:26
11,Albany,42.6001,-73.9662,26.26,83,97,0.45,US,2022-08-09 01:57:43
12,Kapaa,22.0752,-159.319,28.44,73,75,3.13,US,2022-08-09 01:59:27
13,Butaritari,3.0707,172.7902,27.69,77,27,6.8,KI,2022-08-09 01:59:27
14,Gillette,44.2911,-105.5022,29.41,27,0,2.24,US,2022-08-09 01:59:28
15,Atuona,-9.8,-139.0333,25.34,71,28,7.45,PF,2022-08-09 01:59:29
16,Longyearbyen,78.2186,15.6401,7.91,81,75,5.14,SJ,2022-08-09 01:55:17
17,Hithadhoo,-0.6,73.0833,27.58,66,97,0.77,MV,2022-08-09 01:59:29
18,Punta Arenas,-53.15,-70.9167,3.06,81,100,4.12,CL,2022-08-09 01:54:58
19,Bluff,-46.6,168.3333,7.43,57,5,6.54,NZ,2022-08-09 01:59:30
20,Qaanaaq,77.484,-69.3632,1.47,59,0,2.12,GL,2022-08-09 01:59:31
21,Rikitea,-23.1203,-134.9692,23.18,77,99,8.49,PF,2022-08-09 01:59:31
22,Saint-Ambroise,48.5501,-71.3324,15.3,72,100,2.57,CA,2022-08-09 01:59:32
23,Aklavik,68.2191,-135.0107,17.46,48,100,3.22,CA,2022-08-09 01:59:32
24,Barrow,71.2906,-156.7887,4.37,73,96,3.35,US,2022-08-09 01:58:40
25,Ushuaia,-54.8,-68.3,3.81,52,75,2.57,AR,2022-08-09 01:58:07
26,Thompson,55.7435,-97.8558,18.09,100,75,2.06,CA,2022-08-09 01:59:33
27,Pahrump,36.2083,-115.9839,29.62,74,100,0.74,US,2022-08-09 01:59:34
28,Marathon,44.9,-89.7668,18.43,79,0,1.54,US,2022-08-09 01:59:34
29,Mariental,-24.6333,17.9667,10.58,32,11,3.35,NA,2022-08-09 01:59:35
30,Port Alfred,-33.5906,26.891,15.67,82,70,3.53,ZA,2022-08-09 01:59:35
31,Kotovo,50.3211,44.8012,20.2,50,1,3.02,RU,2022-08-09 01:59:36
32,New Norfolk,-42.7826,147.0587,12.73,49,6,0.81,AU,2022-08-09 01:59:36
33,Bambous Virieux,-20.3428,57.7575,21.14,78,40,5.14,MU,2022-08-09 01:59:36
34,Hobart,-42.8794,147.3294,12.92,69,20,3.6,AU,2022-08-09 01:59:37
35,Upernavik,72.7868,-56.1549,5.86,81,100,0.74,GL,2022-08-09 01:59:38
36,Bilibino,68.0546,166.4372,17.51,32,100,2.02,RU,2022-08-09 01:59:38
37,Pevek,69.7008,170.3133,6.06,69,80,5.5,RU,2022-08-09 01:59:38
38,Ukiah,39.1502,-123.2078,29.25,49,0,1.34,US,2022-08-09 01:59:39
39,Rengo,-34.4167,-70.8667,6.93,64,0,2.08,CL,2022-08-09 01:59:39
40,Yarmouth,41.7057,-70.2286,26.11,89,75,3.6,US,2022-08-09 01:59:40
41,Airai,-8.9266,125.4092,22.89,44,83,2.37,TL,2022-08-09 01:59:40
42,Kailua,21.4022,-157.7394,28.41,71,16,3.58,US,2022-08-09 01:59:41
43,Mgandu,-5.95,34.1333,12.26,72,3,2.87,TZ,2022-08-09 01:59:41
44,Emerald,-23.5333,148.1667,16.86,46,0,5.34,AU,2022-08-09 01:56:37
45,Baoqing,46.3317,132.2111,24.12,48,0,7.1,CN,2022-08-09 02:00:42
46,Carnarvon,-24.8667,113.6333,19.18,46,2,8.86,AU,2022-08-09 02:00:42
47,Tasiilaq,65.6145,-37.6368,5.09,96,100,0.3,GL,2022-08-09 02:00:43
48,Boa Vista,2.8197,-60.6733,26.36,72,86,1.41,BR,2022-08-09 02:00:43
49,Bannu,32.9854,70.6027,31.79,54,11,0.52,PK,2022-08-09 02:00:44
50,Bredasdorp,-34.5322,20.0403,10.52,94,9,1.49,ZA,2022-08-09 02:00:45
51,Obama,35.4958,135.746,33.31,69,99,2.9,JP,2022-08-09 02:00:45
52,Cape Town,-33.9258,18.4232,15.77,84,1,2.24,ZA,2022-08-09 02:00:04
53,Souillac,-20.5167,57.5167,20.84,77,39,5.46,MU,2022-08-09 02:00:46
54,Brae,60.3964,-1.353,13.06,96,100,5.23,GB,2022-08-09 01:59:17
55,Atbasar,51.8,68.3333,15.59,82,99,3.43,KZ,2022-08-09 02:00:47
56,El Bagre,7.5927,-74.8086,24.36,98,100,0.34,CO,2022-08-09 02:00:48
57,Pisco,-13.7,-76.2167,16.12,82,0,2.57,PE,2022-08-09 01:58:31
58,Saint-Philippe,-21.3585,55.7679,17.9,78,41,4.01,RE,2022-08-09 02:00:48
59,Avarua,-21.2078,-159.775,25.03,57,40,9.26,CK,2022-08-09 02:00:49
60,Fairbanks,64.8378,-147.7164,15.0,58,75,4.12,US,2022-08-09 01:57:47
